STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/30/1948,0,0,0,,84,52,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/31/1948,0,,0,,88,56,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/1/1948,0.03,0,0,,87,54,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/2/1948,0.12,0,0,,88,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/3/1948,0,0,0,,79,54,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/4/1948,0.02,0,0,,70,56,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/5/1948,0,0,0,,83,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/6/1948,0,0,0,,85,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/7/1948,0,0,0,,87,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/8/1948,0,0,0,,87,57,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/9/1948,0,0,0,,87,57,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/10/1948,0.02,0,0,,85,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/11/1948,0,0,0,,90,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/12/1948,0,0,0,,91,60,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/13/1948,0,0,0,,82,59,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/14/1948,0,0,0,,88,53,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/15/1948,0,0,0,,86,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/16/1948,0,0,0,,92,62,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/17/1948,0,0,0,,94,64,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/18/1948,0,0,0,,90,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/19/1948,0.02,0,0,,92,64,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,8/20/1948,0,0,0,,85,61,
